web_site,name_ar,name_fr,name_en,region_ar,region_fr,region_en
http://www.cuniv-tissemsilt.dz/FR/index.html,المركز الجامعي لتيسمسيلت العلامة أحمد بن يــحي الونشريسي,Centre Universitaire de Tissemsilt- Ahmed ben yahia el-wancharissi,Centre Universitaire of Tissemsilt- Ahmed ben yahia el-wancharissi,الغرب,ouest,west
http://www.cuniv-aintemouchent.dz/, المركز الجامعي لعين تيموشنت - بلحاج بوشعيب,Centre Universitaire de Aïn Témouchent - Belhadj Bouchaib,Centre Universitaire of Aïn Temouchent - Belhadj Bouchaib,الغرب,ouest,west
http://www.cu-relizane.dz/,المركز الجامعي غليزان - أحمد زبانة,Centre universitaire de Rélizane - Ahmed Zabana,Centre universitaire of Relizane - Ahmed Zabana,الغرب,ouest,west
http://www.cuniv-naama.dz/,المركز الجامعي بالنعامة - صالحي أحمد المدعو علي,Centre universitaire  de Naama - Ahmed Salhi,Centre universitaire  of Naama - Ahmed Salhi,الغرب,ouest,west
http://www.cu-elbayadh.dz/,المركز الجامعي بالبيض - نور البشير,Centre universitaire d'El Bayadh - Nour Bachir,Centre universitaire  of El Bayadh - Nour Bachir,الغرب,ouest,west
http://www.cuniv-tindouf.dz,المركز الجامعي بتندوف - المجاهد علي كافي ,Centre universitaire de Tindouf-Ali Kafi,Centre universitaire of Tindouf-Ali Kafi,الغرب,ouest,west
http://maghnia.univ-tlemcen.dz/,المركز الجامعي لمغنية,Centre universitaire de Maghnia,Centre universitaire of Maghnia,الغرب,ouest,west
https://www.cu-tamanrasset.dz/,المركز الجامعي لتمنراست - أمين العقال الحاج موسى آق اخاموك,Centre universitaire de Tamanrasset - Amine Elokkal El Hadj Moussa Eg Akhamouk,Centre universitaire of Tamanrasset - Amine Elokkal El Hadj Moussa Eg Akhamouk,الوسط,centre,center
http://www.cu-tipaza.dz/index.php/fr/,المركز الجامعي بتيبازة - عبد الله مرسلي,Centre universitaire de Tipaza - Abdallah Morsli,Centre universitaire of Tipaza - Abdallah Morsli,الوسط,centre,center
http://www.cuillizi.dz/,المركز الجامعي إليزي المقاوم الشيخ آمود بن مختار,Centre Universitaire d'Illizi-Cheikh Amoud ben Mokhtar,Centre Universitaire  of Illizi-Cheikh Amoud ben Mokhtar,الوسط,centre,center
https://www.cu-aflou.dz/,المركز الجامعي آفلو,Centre universitaire d'Aflou,Centre universitaire  of Aflou,الوسط,centre,center
http://www.centre-univ-mila.dz/ar/index.php, المركز الجامعي لميلة - عبد الحفيظ بوالصوف, Centre Universitaire de Mila - Abdelhafid Boussouf, Centre Universitaire of Mila - Abdelhafid Boussouf,الشرق,est,east
http://centre-barika.univ-batna.dz/index.php,المركز الجامعي بريكة - أحمد حمودة بن عبد الرزاق المدعو سي الحواس,Centre Universitaire de Barika - Si El Haouès,Centre Universitaire of Barika - Si El Haoues,الشرق,est,east
