web_site,name_ar,name_fr,name_en,region_ar,region_fr,region_en
http://www.univ-bechar.dz,جامعة طاهري محمد بشار,Université de Béchar - Mohamed Tahri,University of Bechar - Mohamed Tahri,الغرب,ouest,west
http://www.univ-mascara.dz/,جامعة مصطفى اسطمبولي معسكر,Université de Mascara - Mustapha Stambouli,University of Mascara - Mustapha Stambouli,الغرب,ouest,west
http://www.univ-saida.dz/,جامعة الدكتور مولاي الطاهر سعيدة,Université de Saida - Tahar Moulay,University of Saida - Tahar Moulay,الغرب,ouest,west
http://www.univ-tlemcen.dz,جامعة أبو بكر بلقايد تلمسان,Université de Tlemcen - Abou Bekr Belkaid,University of Tlemcen - Abou Bekr Belkaid,الغرب,ouest,west
http://www.univ-adrar.dz/,جامعة احمد دراية أدرار,Université d'Adrar - Ahmed Draya,University  of Adrar - Ahmed Draya,الغرب,ouest,west
http://www.univ-tiaret.dz,جامعة بن خلدون تيارت,Université de Tiaret - Ibn Khaldoun,University of Tiaret - Ibn Khaldoun,الغرب,ouest,west
http://www.univ-sba.dz,جامعة جيلالي ليابس سيدي بلعباس,Université Sidi Bel Abbès - Djillali Liabes,University Sidi Bel Abbes - Djillali Liabes,الغرب,ouest,west
http://www.univ-mosta.dz,جامعة عبد الحميد ابن باديس مستغانم,Université de Mostaganem - Abdelhamid Ibn Badis,University of Mostaganem - Abdelhamid Ibn Badis,الغرب,ouest,west
http://www.univ-oran1.dz,جامعة احمد بن بلة وهران 1 السانية,Universitéd'Oran1 - Ahmed Ben Bella,University of Oran1 - Ahmed Ben Bella,الغرب,ouest,west
http://www.univ-usto.dz/, جامعة محمد بوضياف العلوم والتكنولوجيا- وهران,Université Mohamed Boudiaf des sciences et de la technologie - Mohamed Boudiaf,University Mohamed Boudiaf of sciences and technology - Mohamed Boudiaf,الغرب,ouest,west
http://www.univ-oran2.dz,جامعة وهران 2 محمد بن أحمد المدعو الرائد سي موسى,Université d'Oran 2 - Mohamed Ben Ahmed,University  of Oran 2 - Mohamed Ben Ahmed,الغرب,ouest,west
http://www.univ-bouira.dz/,جامعة البويرة - آكلي محند أولحاج,Université de Bouira - Akli Mohand Oulhadj,University of Bouira - Akli Mohand Oulhadj,الوسط,centre,center
http://www.univ-djelfa.dz/,جامعة الجلفة - زيان عاشور,Université de Djelfa - Ziane Achour,University of Djelfa - Ziane Achour,الوسط,centre,center
http://www.univ-ghardaia.dz,جامعة غرداية,Université de Ghardaia,University of Ghardaia,الوسط,centre,center
http://www.univ-km.dz/,جامعة خميس مليانة - الجيلالي بونعامة,Université de Khemis Miliana - Djilali Bounaama,University of Khemis Miliana - Djilali Bounaama,الوسط,centre,center
http://www.univ-medea.dz/,جامعة المدية - يحي فارس,Université Médéa - Yahia Farès,University Medea - Yahia Fares,الوسط,centre,center
http://www.usthb.dz/,جامعة الجزائر هواري بومدين للعلوم و التكنولوجيا,"Université des sciences et de la technologie d'Alger, Houari Boumediène","University of sciences and technology  of Alger, Houari Boumediene",الوسط,centre,center
http://www.univ-bejaia.dz/,جامعة بجاية - عبد الرحمان ميرة,Université de Béjaia - Abderrahmane Mira,University of Bejaia - Abderrahmane Mira,الوسط,centre,center
http://www.univ-chlef.dz/,جامعة الشلف - حسيبة بن بوعلي,Université de Chlef - Hassiba Benbouali,University of Chlef - Hassiba Benbouali,الوسط,centre,center
http://www.univ-boumerdes.dz/,جامعة بومرداس - محمد بوقرة,Université de Boumerdès - M'hamed Bougara,University of Boumerdes - M'hamed Bougara,الوسط,centre,center
http://www.ummto.dz/,جامعة تيزي وزو - مولود معمري,Université de Tizi Ouzou - Mouloud Maameri,University of Tizi Ouzou - Mouloud Maameri,الوسط,centre,center
http://www.lagh-univ.dz/,جامعة الأغواط - عمار ثليجي,Université de Laghouat - Amar Telidji,University of Laghouat - Amar Telidji,الوسط,centre,center
http://www.univ-blida.dz/,جامعة البليدة 1 - سعد دحلب,Université Blida 1 - Saad Dahlab,University Blida 1 - Saad Dahlab,الوسط,centre,center
http://www.univ-blida2.dz/,جامعة البليدة 2 - لونيسي علي,Université de Blida 2 - Lounici Ali,University of Blida 2 - Lounici Ali,الوسط,centre,center
http://www.univ-alger.dz/,جامعة الجزائر1 - بن يوسف بن خدة,Université d'Alger 1 - Benyoucef Benkhedda,University  of Alger 1 - Benyoucef Benkhedda,الوسط,centre,center
http://www.univ-alger2.dz,جامعة الجزائر 2 - أبوالقاسم سعد الله,Université d'Alger 2 - Abou el Kacem Saâdallah,University  of Alger 2 - Abou el Kacem Saâdallah,الوسط,centre,center
http://www.univ-alger3.dz/,جامعة الجزائر3 ابراهيم سلطان شيبوط,Université d'Alger 3 - Brahim Soltane Chaibout,University  of Alger 3 - Brahim Soltane Chaibout,الوسط,centre,center
http://www.ufc.dz/,جامعة التكوين المتواصل,Université de la Formation Continue,University of Formation Continue,الوسط,centre,center
http://www.univ-jijel.dz/,جامعة جيجل - محمد الصديق بن يحي,Université de Jijel - Mohammed Seddik Ben yahia,University of Jijel - Mohammed Seddik Ben yahia,الشرق,est,east
http://www.univ-tebessa.dz/,جامعة تبسة - العربي التبسي,Université de Tébessa - Larbi Tébessi,University of Tebessa - Larbi Tebessi,الشرق,est,east
http://www.univ-bba.dz/,جامعة برج بوعريريج - محمد البشير الابراهيمي,Université de Bordj Bou Arréridj - Mohamed Bachir El Ibrahimi,University of Bordj Bou Arreridj - Mohamed Bachir El Ibrahimi,الشرق,est,east
http://www.univ-eltarf.dz/fr/,جامعة الطارف - الشاذلي بن جديد,Université d'El Tarf - Chadli Bendjedid,University  of El Tarf - Chadli Bendjedid,الشرق,est,east
http://www.univ-khenchela.dz,جامعة خنشلة - عباس لغرور,Université de Khenchela - Abbas Laghrour,University of Khenchela - Abbas Laghrour,الشرق,est,east
http://www.univ-oeb.dz/,جامعة أم البواقي - العربي بن مهيدي,Université de Oum El Bouaghi - Larbi Ben M'hidi,University of Oum El Bouaghi - Larbi Ben M'hidi,الشرق,est,east
http://www.univ-eloued.dz/fr/,جامعة الوادي - حمة لخضر,Université d'El Oued - Hamma Lakhdar,University  of El Oued - Hamma Lakhdar,الشرق,est,east
http://www.univ-soukahras.dz/fr/,جامعة سوق أهراس - محمد الشريف مساعدية,Université de Souk Ahras - Mohammed-Chérif Messaadia,University of Souk Ahras - Mohammed-Cherif Messaadia,الشرق,est,east
http://www.univ-annaba.dz/,جامعة عنابة - باجي مختار,Université de Annaba - Badji Mokhtar,University of Annaba - Badji Mokhtar,الشرق,est,east
http://www.univ-skikda.dz/,جامعة سكيكدة - 20 أوت 1955,Université du 20 Août 1955 de Skikda,University du 20 Août 1955 of Skikda,الشرق,est,east
http://www.univ-guelma.dz/,جامعة قالمة - 08 ماي 1945,Université 8 Mai 1945 de Guelma,University 8 Mai 1945 of Guelma,الشرق,est,east
http://www.univ-batna.dz/,جامعة باتنة 1 - الحاج لخضر,Université de Batna 1 - Hadj Lakhder,University of Batna 1 - Hadj Lakhder,الشرق,est,east
http://www.univ-biskra.dz/,جامعة بسكرة - محمد خيضر,Université de Biskra - Mohamed Khider,University of Biskra - Mohamed Khider,الشرق,est,east
http://www.univ-msila.dz/,جامعة المسيلة - محمد بوضياف,Université de M'sila - Mohamed Boudiaf,University of M'sila - Mohamed Boudiaf,الشرق,est,east
http://www.univ-ouargla.dz/,جامعة ورقلة - قاصدي مرباح,Université de Ouargla - Kasdi Merbah,University of Ouargla - Kasdi Merbah,الشرق,est,east
http://www.univ-emir.dz/,جامعة قسنطينة للعلوم الإسلامية الأمير عبد القادر,Université des sciences islamiques Emir Abdelkader de Constantine,University of sciences islamiques Emir Abdelkader of Constantine,الشرق,est,east
http://www.univ-setif.dz/,جامعة سطيف1 - فرحات عباس,Université de Sétif 1 - Ferhat Abbas,University of Setif 1 - Ferhat Abbas,الشرق,est,east
http://www.univ-setif2.dz,جامعة سطيف2 - لمين دباغين,Université de Sétif 2 - Mohamed Lamine Debaghine,University of Setif 2 - Mohamed Lamine Debaghine,الشرق,est,east
http://www.umc.edu.dz/,جامعة قسنطينة1 - الإخوة منتوري,Université de Constantine 1 - Frères Mentouri,University of Constantine 1 - Freres Mentouri,الشرق,est,east
http://www.univ-constantine2.dz/,جامعة قسنطينة 2 - عبد الحميد مهري,Université de Constantine 2 - Abdelhamid Mehri,University of Constantine 2 - Abdelhamid Mehri,الشرق,est,east
http://www.univ-constantine3.dz/,جامعة قسنطينة 3- المجاهد صالح بوبنيدر,Université de Constantine 3 -Salah Boubnider,University of Constantine 3 -Salah Boubnider,الشرق,est,east
http://www.univ-batna2.dz/,جامعة باتنة 2 - مصطفى بن بولعيد,Université de Batna 2 - Mustapha Ben Boulaid,University of Batna 2 - Mustapha Ben Boulaid,الشرق,est,east
